protocol,t,repair,store
replicated,91497600,13,3
replicated,91584000,13,3
replicated,91670400,13,3
replicated,91756800,13,3
replicated,91843200,13,3
replicated,91929600,13,3
replicated,92016000,13,3
replicated,92102400,13,3
replicated,92188800,13,3
replicated,92275200,13,3
replicated,92361600,13,3
replicated,92448000,13,3
replicated,92534400,13,3
replicated,92620800,13,3
replicated,92707200,13,3
replicated,92793600,13,3
replicated,92880000,13,3
replicated,92966400,13,3
replicated,93052800,13,3
replicated,93139200,13,3
replicated,93225600,13,3
replicated,93312000,13,3
replicated,93398400,13,3
replicated,93484800,13,3
replicated,93571200,13,3
replicated,93657600,13,3
replicated,93744000,13,3
replicated,93830400,13,3
replicated,93916800,13,3
replicated,94003200,13,3
replicated,94089600,13,3
replicated,94176000,13,3
replicated,94262400,13,3
replicated,94348800,13,3
replicated,94435200,13,3
replicated,94521600,13,3
replicated,94608000,13,3
replicated,94694400,13,3
replicated,94780800,13,3
replicated,94867200,13,3
replicated,94953600,14,3
replicated,95040000,14,3
replicated,95126400,14,3
replicated,95212800,14,3
replicated,95299200,14,3
replicated,95385600,14,3
replicated,95472000,14,3
replicated,95558400,14,3
replicated,95644800,14,3
replicated,95731200,14,3
replicated,95817600,14,3
replicated,95904000,14,3
replicated,95990400,14,3
replicated,96076800,14,3
replicated,96163200,14,3
replicated,96249600,14,3
replicated,96336000,14,3
replicated,96422400,14,3
replicated,96508800,14,3
replicated,96595200,14,3
replicated,96681600,14,3
replicated,96768000,14,3
replicated,96854400,14,3
replicated,96940800,14,3
replicated,97027200,14,3
replicated,97113600,14,3
replicated,97200000,14,3
replicated,97286400,14,3
replicated,97372800,14,3
replicated,97459200,14,3
replicated,97545600,14,3
replicated,97632000,14,3
replicated,97718400,14,3
replicated,97804800,14,3
replicated,97891200,14,3
replicated,97977600,14,3
replicated,98064000,14,3
replicated,98150400,14,3
replicated,98236800,14,3
replicated,98323200,14,3
replicated,98409600,14,3
replicated,98496000,14,3
replicated,98582400,14,3
replicated,98668800,14,3
replicated,98755200,14,3
replicated,98841600,14,3
replicated,98928000,14,3
replicated,99014400,14,3
replicated,99100800,14,3
replicated,99187200,14,3
replicated,99273600,14,3
replicated,99360000,14,3
replicated,99446400,14,3
replicated,99532800,14,3
replicated,99619200,14,3
replicated,99705600,14,3
replicated,99792000,14,3
replicated,99878400,14,3
replicated,99964800,14,3
replicated,100051200,14,3
replicated,100137600,14,3
replicated,100224000,14,3
replicated,100310400,14,3
replicated,100396800,14,3
